,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_144,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_145,0.0,0.0,15.6,1.0,0.8,3.1,2.8,0.0,0.0,0.0,0
index_146,0.0,0.0,0.0,0.0,5.0,7.3,0.0,15.0,0.0,2.0,0
index_147,0.0,0.0,0.0,0.0,0.0,2.1,2.2,1.9,4.9,8.9,0
index_148,5.1,0.0,0.0,4.2,3.3,1.0,2.4,1.4,0.0,0.0,0
index_149,0.0,0.0,7.0,2.3,0.0,3.2,4.1,2.0,0.0,4.6,0
index_150,2.0,1.0,8.2,12.2,0.0,1.0,10.3,5.2,1.2,1.1,0
index_151,2.0,1.1,0.0,15.6,15.4,0.0,6.2,11.1,0.0,0.0,0
index_152,2.5,0.0,5.0,0.0,0.0,3.3,6.5,2.0,4.0,2.5,0
index_153,6.0,1.6,1.2,2.5,0.0,0.0,0.0,20.4,8.0,0.0,0
index_154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0
index_155,17.0,8.7,1.6,7.5,14.5,3.9,1.0,13.6,17.1,4.1,1
index_156,7.0,5.1,5.5,4.2,10.5,5.4,10.0,19.5,8.2,1.7,1
index_157,5.1,6.0,3.3,2.7,1.6,7.1,3.1,9.5,1.3,2.1,0
index_158,1.3,1.0,7.4,2.4,1.5,4.2,28.2,1.0,3.6,11.8,1
index_159,5.3,0.3,1.0,0.6,1.9,20.3,2.0,24.9,8.9,23.0,1
index_160,9.6,0.7,0.1,10.2,5.9,4.2,1.2,16.9,19.2,4.4,1
index_161,2.6,3.0,7.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0
index_162,3.2,11.7,25.5,11.2,1.1,0.0,1.1,1.9,0.0,1.2,1
index_163,3.2,1.0,3.0,9.8,6.3,4.8,4.6,4.1,10.0,4.6,0
index_164,25.5,9.3,8.5,17.3,12.3,2.9,4.4,2.2,2.5,5.7,1
index_165,28.1,8.1,2.5,1.6,6.9,5.8,6.0,1.0,1.2,1.1,1
index_166,2.3,3.5,1.2,0.2,0.6,0.6,0.5,1.3,1.3,1.2,0
index_167,1.2,1.2,0.3,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0
index_168,0.0,0.0,0.0,15.5,10.0,0.0,0.0,0.0,0.0,41.8,1
index_169,1.3,1.0,0.6,4.1,9.6,5.3,0.1,1.2,4.5,7.3,0
index_170,6.1,3.2,7.9,1.1,1.2,3.2,6.5,6.4,1.5,2.2,0
index_171,1.4,5.8,2.6,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0
index_172,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_173,0.0,1.1,3.6,51.3,0.0,0.0,0.0,0.0,0.0,0.0,1
index_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_175,0.0,0.0,0.0,4.1,1.6,6.8,2.6,0.0,0.0,0.0,0
index_176,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.8,0.3,0.4,0
index_177,3.2,5.3,4.7,11.5,0.4,0.0,0.0,0.0,0.0,0.0,0
index_178,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,6.8,0
index_179,21.7,0.0,0.1,6.8,6.6,7.7,4.3,9.9,3.1,1.8,1
index_180,0.1,6.2,2.8,0.2,0.5,1.0,11.6,2.4,1.4,1.6,0
index_181,1.2,1.5,2.0,2.1,0.0,0.0,0.0,0.0,0.0,7.0,0
index_182,0.5,11.0,0.0,2.0,4.6,0.0,9.5,0.0,8.2,12.6,0
index_183,4.0,12.0,1.4,0.0,0.0,5.4,7.8,0.0,27.4,2.1,1
index_184,0.0,0.0,2.2,8.2,1.1,1.0,0.0,1.4,7.8,1.6,0
index_185,2.1,0.8,3.6,1.1,0.0,15.0,2.6,5.6,0.7,4.7,0
index_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
index_188,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8.3,0.0,0
index_189,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_190,0.0,20.0,4.0,1.5,2.2,0.0,0.0,0.0,0.0,0.0,0
index_191,0.0,0.0,0.0,0.0,0.0,4.6,0.3,1.3,3.6,0.8,0
index_192,7.6,7.6,0.0,0.0,0.0,9.1,0.0,4.4,3.6,9.3,0
index_193,4.5,0.0,7.0,0.0,1.5,0.3,2.0,13.0,6.4,8.5,0
index_194,9.0,1.7,2.4,0.0,0.1,3.9,0.4,0.0,4.0,1.1,0
index_195,2.0,0.4,0.2,12.8,4.2,0.0,0.0,0.4,0.5,0.3,0
index_196,0.6,1.7,0.0,0.9,0.0,41.6,8.1,2.1,0.0,0.0,1
index_197,0.0,2.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,6.7,0
index_198,0.0,7.0,6.8,3.5,8.6,3.4,1.1,0.7,29.7,0.5,1
index_199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0
index_200,0.0,0.0,0.0,0.0,0.0,0.5,5.5,0.0,11.2,3.1,0
index_201,0.5,0.0,0.6,2.0,2.8,0.0,13.4,3.6,28.5,9.5,1
index_202,11.0,3.1,1.6,6.5,5.0,0.0,0.0,4.0,0.0,6.5,0
index_203,3.5,1.0,1.2,6.2,8.3,2.9,3.1,6.6,1.9,2.0,0
